Date,gbp_open,gbp_high,gbp_low,gbp_close
2004-01-01,0.43063,0.43593,0.43056,0.43225
2004-01-02,0.43228,0.43447,0.43088,0.43088
2004-01-05,0.43275,0.43401,0.43102,0.43178
2004-01-06,0.43163,0.43241,0.42643,0.4266
2004-01-07,0.42671,0.42791,0.42563,0.4264
2004-01-08,0.42661,0.42741,0.42541,0.42627
2004-01-09,0.42605,0.4273,0.42436,0.42699
2004-01-12,0.42561,0.4261,0.42285,0.42432
2004-01-13,0.42441,0.42708,0.42347,0.42536
2004-01-14,0.4255,0.42855,0.42119,0.42294
2004-01-15,0.4231,0.42455,0.42236,0.42296
2004-01-16,0.42283,0.42888,0.42248,0.42773
2004-01-19,0.42747,0.43115,0.42647,0.43061
2004-01-20,0.43063,0.43063,0.42488,0.42564
2004-01-21,0.42547,0.42624,0.41852,0.41961
2004-01-22,0.41944,0.41969,0.41638,0.41883
2004-01-23,0.41884,0.41906,0.41244,0.4168
2004-01-26,0.4167,0.42,0.41633,0.41977
2004-01-27,0.41972,0.42289,0.41856,0.41883
2004-01-28,0.41877,0.41956,0.41173,0.41505
2004-01-29,0.41528,0.4153,0.41175,0.41376
2004-01-30,0.41382,0.41617,0.41144,0.41367
2004-02-02,0.41303,0.41395,0.40985,0.41048
2004-02-03,0.40897,0.40993,0.40527,0.40641
2004-02-04,0.40684,0.40993,0.40527,0.4091
2004-02-05,0.40897,0.40935,0.40646,0.40692
2004-02-06,0.40665,0.40952,0.40545,0.40944
2004-02-09,0.40767,0.40805,0.40401,0.40473
2004-02-10,0.40467,0.40539,0.40136,0.40236
2004-02-11,0.402,0.4029,0.4006,0.40153
2004-02-12,0.40152,0.40192,0.39996,0.40044
2004-02-13,0.40044,0.4042,0.39897,0.40259
2004-02-16,0.40265,0.40356,0.40122,0.40164
2004-02-17,0.40174,0.40306,0.39966,0.40015
2004-02-18,0.39958,0.40045,0.39831,0.39938
2004-02-19,0.39924,0.40026,0.3958,0.39641
2004-02-20,0.39636,0.40258,0.3957,0.40171
2004-02-23,0.40198,0.4034,0.39909,0.40081
2004-02-24,0.40061,0.40158,0.39743,0.39799
2004-02-25,0.39811,0.40089,0.39614,0.39972
2004-02-26,0.39963,0.40186,0.39814,0.39909
2004-02-27,0.39933,0.40188,0.39846,0.40047
2004-03-01,0.39964,0.40108,0.39899,0.39999
2004-03-02,0.39998,0.40539,0.39887,0.40468
2004-03-03,0.40455,0.40967,0.40182,0.40765
2004-03-04,0.40786,0.41172,0.40628,0.41132
2004-03-05,0.41113,0.41264,0.409,0.40974
2004-03-08,0.40978,0.41061,0.40658,0.40934
2004-03-09,0.40938,0.41435,0.40761,0.41332
2004-03-10,0.40938,0.41899,0.40761,0.41854
2004-03-11,0.41853,0.42086,0.41735,0.41929
2004-03-12,0.41928,0.42188,0.41478,0.41541
2004-03-15,0.4163,0.41823,0.41429,0.41535
2004-03-16,0.41536,0.4161,0.41266,0.41363
2004-03-17,0.41351,0.41468,0.41038,0.41103
2004-03-18,0.4109,0.41136,0.40853,0.41061
2004-03-19,0.41061,0.41148,0.40839,0.40908
2004-03-22,0.40867,0.41012,0.40543,0.4057
2004-03-23,0.40572,0.40773,0.40488,0.40528
2004-03-24,0.40516,0.40913,0.40484,0.40902
2004-03-25,0.40898,0.41637,0.40853,0.41559
2004-03-26,0.4154,0.41906,0.41423,0.41707
2004-03-29,0.41806,0.42112,0.4164,0.41963
2004-03-30,0.41957,0.42015,0.41749,0.41887
2004-03-31,0.41883,0.41929,0.41275,0.41397
2004-04-01,0.41417,0.41417,0.40832,0.41189
2004-04-02,0.41199,0.4163,0.41166,0.41602
2004-04-05,0.41597,0.41981,0.41475,0.41699
2004-04-06,0.41693,0.41786,0.41335,0.41355
2004-04-07,0.41343,0.41655,0.41185,0.41442
2004-04-08,0.41445,0.41505,0.41011,0.41151
2004-04-09,0.41145,0.41165,0.40943,0.40974
2004-04-12,0.41127,0.41127,0.4065,0.40952
2004-04-13,0.40958,0.41293,0.40646,0.41202
2004-04-14,0.412,0.41614,0.41141,0.41568
2004-04-15,0.41556,0.41852,0.41436,0.41508
2004-04-16,0.41502,0.41668,0.41188,0.41358
2004-04-19,0.41305,0.41325,0.40996,0.41112
2004-04-20,0.41502,0.41668,0.41041,0.4128
2004-04-21,0.41283,0.41589,0.41189,0.41584
2004-04-22,0.41555,0.4173,0.41426,0.41526
2004-04-23,0.41532,0.41696,0.41399,0.41467
2004-04-26,0.41444,0.41528,0.41244,0.41408
2004-04-27,0.41376,0.4149,0.41224,0.41261
2004-04-28,0.41256,0.41452,0.40987,0.41064
2004-04-29,0.41053,0.41392,0.40988,0.4108
2004-04-30,0.41101,0.41239,0.40809,0.40992
2004-05-03,0.40947,0.41161,0.40891,0.41097
2004-05-04,0.41097,0.41152,0.40537,0.40599
2004-05-05,0.40592,0.40739,0.40442,0.40642
2004-05-06,0.40646,0.40758,0.40342,0.40458
2004-05-07,0.40468,0.40522,0.40215,0.40367
2004-05-10,0.40414,0.40579,0.40169,0.40186
2004-05-11,0.40187,0.41104,0.40171,0.40925
2004-05-12,0.40968,0.4105,0.40503,0.40635
2004-05-13,0.40654,0.40864,0.40509,0.40752
2004-05-14,0.40758,0.40982,0.40693,0.40925
2004-05-17,0.40822,0.41039,0.40404,0.40427
2004-05-18,0.40443,0.40739,0.40425,0.40684
2004-05-19,0.40698,0.40799,0.40405,0.40747
2004-05-20,0.4076,0.41233,0.40649,0.41145
2004-05-21,0.4111,0.41147,0.40564,0.40734
2004-05-24,0.40716,0.40858,0.40619,0.40705
2004-05-25,0.40699,0.40745,0.40016,0.40199
2004-05-26,0.40182,0.4034,0.40103,0.40198
2004-05-27,0.4017,0.40286,0.39982,0.40091
2004-05-28,0.40112,0.40115,0.39877,0.40026
2004-05-31,0.40005,0.40111,0.39906,0.40031
2004-06-01,0.40037,0.40074,0.39679,0.39728
2004-06-02,0.39751,0.40069,0.39621,0.40032
2004-06-03,0.40037,0.40175,0.39828,0.39885
2004-06-04,0.39876,0.40346,0.3982,0.40213
2004-06-07,0.40207,0.40484,0.40095,0.40362
2004-06-08,0.40347,0.40543,0.40251,0.40291
2004-06-09,0.40293,0.40553,0.40148,0.40201
2004-06-10,0.40216,0.40398,0.39837,0.39936
2004-06-11,0.39932,0.4036,0.39926,0.40299
2004-06-14,0.40238,0.40552,0.39977,0.39984
2004-06-15,0.39982,0.40103,0.39788,0.39827
2004-06-16,0.39828,0.39963,0.39666,0.39867
2004-06-17,0.39871,0.39927,0.39526,0.39652
2004-06-18,0.39662,0.39921,0.39629,0.39838
2004-06-21,0.3997,0.40079,0.39817,0.39965
2004-06-22,0.39983,0.40518,0.3992,0.40399
2004-06-23,0.40408,0.40587,0.40305,0.40434
2004-06-24,0.40438,0.40971,0.40424,0.40722
2004-06-25,0.40726,0.40845,0.40294,0.39879
2004-06-28,0.40521,0.40709,0.40484,0.40522
2004-06-29,0.40522,0.41171,0.40495,0.41045
2004-06-30,0.41061,0.4126,0.40963,0.41209
2004-07-01,0.41183,0.41495,0.41144,0.41216
2004-07-02,0.41254,0.41312,0.41121,0.41238
2004-07-05,0.4122,0.41287,0.41116,0.412
2004-07-06,0.412,0.41308,0.40864,0.40935
2004-07-07,0.40949,0.40988,0.40709,0.40787
2004-07-08,0.40781,0.41065,0.40696,0.40986
2004-07-09,0.40966,0.41039,0.40729,0.40749
2004-07-12,0.40796,0.40866,0.40616,0.40695
2004-07-13,0.40704,0.40889,0.40507,0.40844
2004-07-14,0.40843,0.4087,0.40653,0.40703
2004-07-15,0.40722,0.40875,0.40688,0.40751
2004-07-16,0.40769,0.40956,0.40515,0.40704
2004-07-19,0.4076,0.40956,0.40717,0.40929
2004-07-20,0.40932,0.412,0.40895,0.4113
2004-07-21,0.41109,0.41204,0.40975,0.41083
2004-07-22,0.41088,0.41245,0.40939,0.41141
2004-07-23,0.41129,0.4139,0.41129,0.41206
2004-07-26,0.41265,0.41294,0.40723,0.40779
2004-07-27,0.40782,0.41221,0.40713,0.41155
2004-07-28,0.41155,0.41338,0.41014,0.41236
2004-07-29,0.41219,0.41571,0.41119,0.41492
2004-07-30,0.4149,0.41701,0.41196,0.41196
2004-08-02,0.4128,0.41361,0.41032,0.41157
2004-08-03,0.41169,0.41604,0.41081,0.41583
2004-08-04,0.41558,0.41766,0.41532,0.41616
2004-08-05,0.41615,0.41711,0.41507,0.4157
2004-08-06,0.41577,0.4162,0.41211,0.41211
2004-08-09,0.41388,0.41399,0.41172,0.41208
2004-08-10,0.41216,0.41528,0.412,0.41429
2004-08-11,0.4143,0.41456,0.41188,0.41229
2004-08-12,0.41188,0.41352,0.41138,0.4117
2004-08-13,0.41167,0.41497,0.41137,0.41172
2004-08-16,0.41366,0.41642,0.41299,0.41548
2004-08-17,0.41536,0.41894,0.41513,0.41856
2004-08-18,0.41855,0.42097,0.4181,0.42026
2004-08-19,0.42026,0.42169,0.41935,0.42089
2004-08-20,0.42083,0.42409,0.42012,0.42316
2004-08-23,0.42364,0.42449,0.42125,0.42267
2004-08-24,0.42271,0.42805,0.42263,0.42731
2004-08-25,0.42719,0.42779,0.42414,0.42658
2004-08-26,0.42662,0.42689,0.42408,0.42568
2004-08-27,0.42593,0.42598,0.42438,0.42516
2004-08-30,0.42512,0.42533,0.42163,0.42261
2004-08-31,0.42261,0.42422,0.42073,0.42251
2004-09-01,0.4225,0.4271,0.42189,0.42645
2004-09-02,0.42644,0.43012,0.42572,0.42902
2004-09-03,0.42918,0.43377,0.42857,0.43277
2004-09-06,0.43286,0.43401,0.43186,0.43254
2004-09-07,0.43254,0.43864,0.43088,0.43734
2004-09-08,0.43724,0.43744,0.43265,0.43301
2004-09-09,0.43309,0.43593,0.43274,0.43395
2004-09-10,0.43386,0.4347,0.43001,0.43001
2004-09-13,0.43107,0.43199,0.42728,0.42729
2004-09-14,0.42735,0.4305,0.42665,0.42982
2004-09-15,0.42974,0.43429,0.42954,0.43407
2004-09-16,0.43401,0.43408,0.43129,0.432
2004-09-17,0.43182,0.43251,0.42702,0.43013
2004-09-20,0.42943,0.4332,0.42931,0.43231
2004-09-21,0.43222,0.43284,0.43095,0.43221
2004-09-22,0.4323,0.43533,0.43123,0.43431
2004-09-23,0.43432,0.43519,0.4323,0.43429
2004-09-24,0.43426,0.43539,0.43317,0.43445
2004-09-27,0.43406,0.43499,0.43324,0.43399
2004-09-28,0.43418,0.43427,0.43216,0.43351
2004-09-29,0.43343,0.43764,0.43339,0.43714
2004-09-30,0.43714,0.4381,0.43549,0.43711
2004-10-01,0.43722,0.44161,0.43703,0.44059
2004-10-04,0.4403,0.44176,0.43923,0.4403
2004-10-05,0.44039,0.44501,0.43909,0.44468
2004-10-06,0.4445,0.44719,0.44242,0.44593
2004-10-07,0.44564,0.44779,0.44448,0.44523
2004-10-08,0.44525,0.44593,0.44382,0.44485
2004-10-11,0.44494,0.44503,0.44272,0.44294
2004-10-12,0.44305,0.44559,0.44305,0.44444
2004-10-13,0.44444,0.44465,0.44038,0.443
2004-10-14,0.44291,0.44492,0.44116,0.44278
2004-10-15,0.44262,0.44348,0.44022,0.44234
2004-10-18,0.44197,0.44315,0.44104,0.44218
2004-10-19,0.44214,0.44277,0.43995,0.4409
2004-10-20,0.44074,0.44357,0.44034,0.4421
2004-10-21,0.44191,0.44222,0.43779,0.43998
2004-10-22,0.43985,0.4439,0.43894,0.44267
2004-10-25,0.44343,0.44575,0.44296,0.44445
2004-10-26,0.44421,0.44548,0.44384,0.44459
2004-10-27,0.44457,0.44674,0.44371,0.44599
2004-10-28,null,null,null,null
2004-10-29,0.44586,0.44896,0.44463,0.44669
2004-11-01,0.44573,0.44732,0.44545,0.44604
2004-11-02,0.44613,0.44652,0.44277,0.4431
2004-11-03,0.44328,0.4483,0.44296,0.4483
2004-11-04,0.44831,0.45073,0.44747,0.44924
2004-11-05,0.44897,0.45122,0.44832,0.44971
2004-11-08,0.4502,0.4523,0.44918,0.45129
2004-11-09,0.4512,0.45224,0.44821,0.44902
2004-11-10,0.44904,0.4538,0.44859,0.45269
2004-11-11,0.45261,0.45448,0.4519,0.45348
2004-11-12,0.4536,0.45522,0.45059,0.45105
2004-11-15,0.45121,0.45171,0.44875,0.45058
2004-11-16,0.4506,0.45257,0.44994,0.45131
2004-11-17,0.45141,0.45304,0.44963,0.45021
2004-11-18,0.45056,0.45142,0.44671,0.44834
2004-11-19,0.4483,0.4519,0.44724,0.45125
2004-11-22,0.45083,0.45524,0.44988,0.45341
2004-11-23,0.45337,0.45405,0.44957,0.45109
2004-11-24,0.45103,0.45182,0.4497,0.45043
2004-11-25,0.45022,0.45073,0.44836,0.44906
2004-11-26,0.44905,0.44964,0.44701,0.44869
2004-11-29,0.44838,0.44873,0.44476,0.44541
2004-11-30,0.44545,0.44593,0.43951,0.44057
2004-12-01,0.44071,0.44079,0.436,0.43708
2004-12-02,0.43704,0.43814,0.43429,0.43509
2004-12-03,0.43492,0.43687,0.42993,0.43212
2004-12-06,0.43171,0.43215,0.42787,0.42993
2004-12-07,0.42967,0.42995,0.42472,0.42549
2004-12-08,0.4254,0.42636,0.42245,0.42416
2004-12-09,0.42414,0.4273,0.42412,0.42516
2004-12-10,0.42526,0.42711,0.42477,0.42696
2004-12-13,0.42658,0.4275,0.42237,0.42308
2004-12-14,0.42327,0.42397,0.41856,0.41887
2004-12-15,0.41889,0.4208,0.4178,0.41992
2004-12-16,0.41992,0.42102,0.41589,0.41926
2004-12-17,0.41938,0.42124,0.41754,0.41884
2004-12-20,0.41914,0.42012,0.41686,0.4177
2004-12-21,0.41781,0.42362,0.41734,0.42191
