Date,lse_close
2004-01-01,360.01
2004-01-02,365.39
2004-01-05,360.01
2004-01-06,358.40
2004-01-07,363.78
2004-01-08,367.81
2004-01-09,372.91
2004-01-12,373.45
2004-01-13,373.18
2004-01-14,373.72
2004-01-15,375.06
2004-01-16,379.90
2004-01-19,390.64
2004-01-20,391.99
2004-01-21,394.67
2004-01-22,396.55
2004-01-23,393.87
2004-01-26,391.99
2004-01-27,394.14
2004-01-28,395.48
2004-01-29,390.11
2004-01-30,390.64
2004-02-02,392.25
2004-02-03,394.40
2004-02-04,391.18
2004-02-05,386.88
2004-02-06,392.79
2004-02-09,390.11
2004-02-10,387.15
2004-02-11,389.57
2004-02-12,391.72
2004-02-13,390.11
2004-02-16,392.25
2004-02-17,396.55
2004-02-18,401.39
2004-02-19,400.31
2004-02-20,398.70
2004-02-23,395.48
2004-02-24,380.97
2004-02-25,384.73
2004-02-26,380.97
2004-02-27,378.02
2004-03-01,379.36
2004-03-02,379.36
2004-03-03,382.85
2004-03-04,383.39
2004-03-05,387.69
2004-03-08,393.33
2004-03-09,393.60
2004-03-10,389.30
2004-03-11,387.96
2004-03-12,392.52
2004-03-15,392.25
2004-03-16,391.45
2004-03-17,399.78
2004-03-18,393.33
2004-03-19,392.52
2004-03-22,384.73
2004-03-23,378.28
2004-03-24,381.51
2004-03-25,381.51
2004-03-26,378.28
2004-03-29,382.05
2004-03-30,376.40
2004-03-31,376.67
2004-04-01,381.78
2004-04-02,386.88
2004-04-05,387.96
2004-04-06,386.61
2004-04-07,392.25
2004-04-08,389.84
2004-04-09,389.84
2004-04-12,389.84
2004-04-13,389.57
2004-04-14,384.46
2004-04-15,381.51
2004-04-16,380.97
2004-04-19,382.31
2004-04-20,380.16
2004-04-21,377.75
2004-04-22,382.31
2004-04-23,384.19
2004-04-26,382.85
2004-04-27,378.28
2004-04-28,381.51
2004-04-29,377.48
2004-04-30,374.79
2004-05-03,374.79
2004-05-04,374.52
2004-05-05,375.06
2004-05-06,376.67
2004-05-07,380.43
2004-05-10,376.67
2004-05-11,381.78
2004-05-12,394.94
2004-05-13,393.60
2004-05-14,397.63
2004-05-17,393.33
2004-05-18,398.17
2004-05-19,404.61
2004-05-20,407.30
2004-05-21,412.14
2004-05-24,420.20
2004-05-25,411.33
2004-05-26,408.37
2004-05-27,403.81
2004-05-28,404.61
2004-05-31,404.61
2004-06-01,402.20
2004-06-02,403.00
2004-06-03,398.70
2004-06-04,398.43
2004-06-07,399.78
2004-06-08,397.63
2004-06-09,399.51
2004-06-10,398.70
2004-06-11,395.48
2004-06-14,393.87
2004-06-15,392.25
2004-06-16,395.21
2004-06-17,394.94
2004-06-18,394.14
2004-06-21,395.75
2004-06-22,399.51
2004-06-23,399.78
2004-06-24,394.40
2004-06-25,394.40
2004-06-28,392.25
2004-06-29,394.40
2004-06-30,393.33
2004-07-01,396.82
2004-07-02,393.60
2004-07-05,394.40
2004-07-06,395.48
2004-07-07,393.06
2004-07-08,397.63
2004-07-09,399.51
2004-07-12,400.85
2004-07-13,410.79
2004-07-14,407.57
2004-07-15,408.37
2004-07-16,404.08
2004-07-19,411.60
2004-07-20,409.72
2004-07-21,407.30
2004-07-22,398.43
2004-07-23,402.46
2004-07-26,334.38
2004-07-27,329.77
2004-07-28,329.77
2004-07-29,331.61
2004-07-30,327.93
2004-08-02,330.92
2004-08-03,331.61
2004-08-04,327.70
2004-08-05,326.55
2004-08-06,323.55
2004-08-09,320.56
2004-08-10,319.64
2004-08-11,313.65
2004-08-12,314.11
2004-08-13,310.66
2004-08-16,316.64
2004-08-17,315.95
2004-08-18,317.33
2004-08-19,324.24
2004-08-20,322.40
2004-08-23,328.39
2004-08-24,325.39
2004-08-25,328.85
2004-08-26,328.16
2004-08-27,329.77
2004-08-30,329.77
2004-08-31,328.85
2004-09-01,329.31
2004-09-02,333.45
2004-09-03,336.22
2004-09-06,335.76
2004-09-07,332.53
2004-09-08,332.53
2004-09-09,333.69
2004-09-10,333.92
2004-09-13,333.45
2004-09-14,331.61
2004-09-15,330.23
2004-09-16,333.69
2004-09-17,331.61
2004-09-20,329.08
2004-09-21,329.08
2004-09-22,328.85
2004-09-23,317.80
