Date,uk_inflation
2004-01-01,77
2004-02-01,77.2
2004-03-01,77.3
2004-04-01,77.6
2004-05-01,77.9
2004-06-01,77.9
2004-07-01,77.7
2004-08-01,77.9
2004-09-01,77.9
2004-10-01,78.1
2004-11-01,78.3
2004-12-01,78.6
2005-01-01,78.3
2005-02-01,78.5
2005-03-01,78.8
2005-04-01,79.1
2005-05-01,79.4
2005-06-01,79.4
2005-07-01,79.5
2005-08-01,79.7
2005-09-01,79.9
2005-10-01,80
2005-11-01,80
2005-12-01,80.3
2006-01-01,80
2006-02-01,80.2
2006-03-01,80.4
2006-04-01,80.9
2006-05-01,81.3
2006-06-01,81.5
2006-07-01,81.5
2006-08-01,81.8
2006-09-01,81.9
2006-10-01,82
2006-11-01,82.2
2006-12-01,82.6
2007-01-01,82.1
2007-02-01,82.4
2007-03-01,82.8
2007-04-01,83.1
2007-05-01,83.3
2007-06-01,83.5
2007-07-01,83.1
2007-08-01,83.4
2007-09-01,83.5
2007-10-01,83.8
2007-11-01,84.1
2007-12-01,84.5
2008-01-01,84.1
2008-02-01,84.6
2008-03-01,84.9
2008-04-01,85.6
2008-05-01,86.1
2008-06-01,86.6
2008-07-01,86.6
2008-08-01,87.1
2008-09-01,87.5
2008-10-01,87.3
2008-11-01,87.3
2008-12-01,87.1
2009-01-01,86.6
2009-02-01,87.2
2009-03-01,87.3
2009-04-01,87.5
2009-05-01,87.9
2009-06-01,88.1
2009-07-01,88
2009-08-01,88.3
2009-09-01,88.3
2009-10-01,88.4
2009-11-01,88.6
2009-12-01,88.9
2010-01-01,88.8
2010-02-01,89
2010-03-01,89.4
2010-04-01,89.9
2010-05-01,90.1
2010-06-01,90.2
2010-07-01,90
2010-08-01,90.4
2010-09-01,90.4
2010-10-01,90.6
2010-11-01,90.9
2010-12-01,91.7
2011-01-01,91.8
2011-02-01,92.3
2011-03-01,92.6
2011-04-01,93.3
2011-05-01,93.5
2011-06-01,93.5
2011-07-01,93.5
2011-08-01,93.9
2011-09-01,94.5
2011-10-01,94.5
2011-11-01,94.7
2011-12-01,95
2012-01-01,94.7
2012-02-01,95.2
2012-03-01,95.4
2012-04-01,95.9
2012-05-01,95.9
2012-06-01,95.6
2012-07-01,95.7
2012-08-01,96.1
2012-09-01,96.4
2012-10-01,96.8
2012-11-01,97
2012-12-01,97.3
2013-01-01,97
2013-02-01,97.5
2013-03-01,97.8
2013-04-01,98
2013-05-01,98.2
2013-06-01,98
2013-07-01,98
2013-08-01,98.4
2013-09-01,98.7
2013-10-01,98.8
2013-11-01,98.8
2013-12-01,99.2
2014-01-01,98.7
2014-02-01,99.1
2014-03-01,99.3
2014-04-01,99.6
2014-05-01,99.6
2014-06-01,99.8
2014-07-01,99.6
2014-08-01,99.9
2014-09-01,100
2014-10-01,100.1
2014-11-01,99.9
2014-12-01,99.9
2015-01-01,99.2
2015-02-01,99.5
2015-03-01,99.6
2015-04-01,99.9
2015-05-01,100.1
2015-06-01,100.1
2015-07-01,100
2015-08-01,100.3
2015-09-01,100.2
2015-10-01,100.3
2015-11-01,100.3
2015-12-01,100.4
2016-01-01,99.9
2016-02-01,100.1
2016-03-01,100.4
2016-04-01,100.6
2016-05-01,100.8
2016-06-01,101
2016-07-01,100.9
2016-08-01,101.2
2016-09-01,101.5
2016-10-01,101.6
2016-11-01,101.8
2016-12-01,102.2
2017-01-01,101.8
2017-02-01,102.4
2017-03-01,102.7
2017-04-01,103.2
2017-05-01,103.5
2017-06-01,103.5
2017-07-01,103.5
2017-08-01,104
2017-09-01,104.3
2017-10-01,104.4
2017-11-01,104.7
2017-12-01,105
2018-01-01,104.5
2018-02-01,104.9
2018-03-01,105.1
2018-04-01,105.5
2018-05-01,105.9
2018-06-01,105.9
2018-07-01,105.9
2018-08-01,106.5
2018-09-01,106.6
2018-10-01,106.7
2018-11-01,106.9
2018-12-01,107.1
2019-01-01,106.4
2019-02-01,106.8
2019-03-01,107
2019-04-01,107.6
2019-05-01,107.9
2019-06-01,107.9
2019-07-01,108
2019-08-01,108.3
2019-09-01,108.4
2019-10-01,108.3
2019-11-01,108.5
2019-12-01,108.5
2020-01-01,108.3
2020-02-01,108.6
2020-03-01,108.6
2020-04-01,108.6
2020-05-01,108.6
2020-06-01,108.8
2020-07-01,109.2
2020-08-01,108.8
2020-09-01,109.2
2020-10-01,109.2
2020-11-01,109.1
2020-12-01,109.4
2021-01-01,109.3
2021-02-01,109.4
2021-03-01,109.7
2021-04-01,109.846998
2021-05-01,109.994193
2021-05-31,109.410432
2021-06-30,109.507987
2021-07-31,109.531983
2021-08-31,109.723637
2021-09-30,109.969411
